년월,LineaSpeed [km/s],MPA [deg],흑점수
2012-08,628.2903225806451,114.80645161290323,90.29032258064517
2012-09,600.7333333333333,128.36666666666667,88.86666666666666
2012-10,485.64516129032256,119.54838709677419,75.03225806451613
2012-11,620.7333333333333,141.2,88.41666666666667
2012-12,515.9032258064516,136.25806451612902,58.61290322580645
2013-01,592.8709677419355,135.16129032258064,97.96774193548387
2013-02,689.1071428571429,140.60714285714286,60.5
2013-03,582.0645161290323,132.4516129032258,79.70967741935483
2013-04,527.2333333333333,138.1,110.08333333333333
2013-05,811.6774193548387,148.5483870967742,122.87096774193549
2013-06,690.9642857142857,155.82142857142858,78.98214285714286
2013-07,530.8387096774194,132.2258064516129,86.1774193548387
2013-08,544.3870967741935,153.61290322580646,91.0
2013-09,521.3,141.63333333333333,54.75
2013-10,592.2258064516129,151.74193548387098,120.75806451612904
2013-11,616.2333333333333,154.5,119.8
2013-12,623.0322580645161,153.93548387096774,121.2258064516129
2014-01,746.3548387096774,148.19354838709677,121.46774193548387
2014-02,737.2142857142857,155.57142857142858,160.33928571428572
2014-03,549.1290322580645,146.16129032258064,134.93548387096774
2014-04,679.5172413793103,153.3793103448276,124.13793103448276
2014-05,621.4516129032259,145.32258064516128,114.62903225806451
2014-06,731.1666666666666,149.9,105.31666666666666
2014-07,611.4,145.03333333333333,107.33333333333333
2014-08,552.258064516129,143.5483870967742,106.58064516129032
2014-09,706.5333333333333,125.5,128.71666666666667
2014-10,569.0,150.29032258064515,91.01612903225806
2014-11,623.7,126.0,102.75
2014-12,664.9032258064516,132.8709677419355,116.45161290322581
2015-01,530.1935483870968,109.54838709677419,97.14516129032258
2015-02,551.0357142857143,126.35714285714286,68.69642857142857
2015-03,617.3870967741935,132.09677419354838,58.12903225806452
2015-04,677.1666666666666,114.36666666666666,73.95
2015-05,555.5806451612904,123.64516129032258,85.91935483870968
2015-06,717.6,128.96666666666667,71.91666666666667
2015-07,551.1290322580645,124.80645161290323,67.14516129032258
2015-08,551.0,129.0,63.04838709677419
2015-09,562.5666666666667,128.26666666666668,75.55
2015-10,497.7096774193548,119.93548387096774,61.61290322580645
2015-11,528.3333333333334,121.1,62.016666666666666
2015-12,485.61290322580646,115.51612903225806,56.08064516129032
2016-01,571.7096774193549,129.61290322580646,53.70967741935484
2016-02,474.44827586206895,125.37931034482759,56.224137931034484
2016-03,462.80645161290323,109.80645161290323,47.5
2016-04,441.17241379310343,104.93103448275862,36.91379310344828
2016-05,518.7666666666667,112.93333333333334,49.7
2016-06,450.82142857142856,114.14285714285714,17.232142857142858
2016-07,417.26666666666665,105.23333333333333,31.35
2016-08,400.0689655172414,91.24137931034483,51.741379310344826
2016-09,365.57142857142856,105.57142857142857,42.535714285714285
2016-10,357.7191011235955,107.62921348314607,29.415730337078653
2016-11,408.34831460674155,100.51685393258427,24.808988764044944
2016-12,397.8125,105.65625,12.458333333333334
2017-01,367.2857142857143,100.60714285714286,25.196428571428573
2017-02,325.2083333333333,93.375,24.770833333333332
2017-03,345.84615384615387,97.61538461538461,15.288461538461538
2017-04,445.07142857142856,88.32142857142857,31.875
2017-05,329.42857142857144,103.46428571428571,16.964285714285715
2017-06,353.875,100.125,17.9375
2017-07,445.0,93.51724137931035,17.310344827586206
2017-08,319.8965517241379,96.3103448275862,29.93103448275862
2017-09,619.68,108.08,45.74
2017-10,432.37931034482756,88.20689655172414,12.362068965517242
2017-11,345.96,97.32,6.24
2017-12,304.6666666666667,88.875,5.875
2018-01,280.57142857142856,95.0,5.214285714285714
2018-02,271.55555555555554,103.27777777777777,13.166666666666666
2018-03,269.3333333333333,93.91666666666667,3.1041666666666665
2018-04,299.3703703703704,102.44444444444444,8.24074074074074
2018-05,382.5,96.42307692307692,12.942307692307692
2018-06,274.4761904761905,100.9047619047619,17.5
2018-07,299.4347826086956,92.78260869565217,0.7608695652173914
2018-08,294.14814814814815,100.0,8.11111111111111
2018-09,343.0952380952381,105.9047619047619,3.380952380952381
2018-10,312.1304347826087,101.43478260869566,5.6521739130434785
2018-11,265.45,107.9,5.225
2018-12,319.54545454545456,94.77272727272727,3.909090909090909
2019-01,325.92,108.6,7.76
2019-02,310.55,101.0,0.275
2019-03,290.81481481481484,100.33333333333333,8.462962962962964
2019-04,287.25,99.5,9.104166666666666
2019-05,337.0357142857143,108.64285714285714,11.0
2019-06,281.23809523809524,101.85714285714286,2.2142857142857144
2019-07,314.3333333333333,101.5,0.5
2019-08,285.65,100.45,1.15
2019-09,256.0,96.78947368421052,1.5
2019-10,265.96,111.92,0.7
2019-11,271.8181818181818,102.63636363636364,0.0
2019-12,322.5,116.33333333333333,2.4166666666666665
2020-01,235.72,107.84,5.32
2020-02,306.7,114.7,0.0
2020-03,271.23809523809524,120.42857142857143,1.7619047619047619
2020-04,379.7894736842105,114.10526315789474,3.263157894736842
2020-05,267.95652173913044,94.6086956521739,0.0
2020-06,288.2608695652174,109.26086956521739,4.6521739130434785
2020-07,345.875,116.0,7.916666666666667
2020-08,269.35714285714283,100.64285714285714,8.25
2020-09,257.0833333333333,102.29166666666667,0.5416666666666666
2020-10,317.36,107.92,14.68
2020-11,532.4642857142857,121.14285714285714,28.821428571428573
2020-12,367.61538461538464,117.3076923076923,23.653846153846153
2021-01,320.125,108.66666666666667,11.166666666666666
2021-02,309.0,110.23076923076923,7.8076923076923075
2021-03,268.0,111.81818181818181,16.09090909090909
2021-04,374.85714285714283,111.89285714285714,25.785714285714285
2021-05,403.67857142857144,99.5,19.0
2021-06,386.13793103448273,110.3103448275862,23.413793103448278
2021-07,489.8333333333333,110.63333333333334,36.3
2021-08,468.7586206896552,111.48275862068965,23.82758620689655
2021-09,521.6666666666666,135.43333333333334,51.93333333333333
2021-10,534.5333333333333,120.43333333333334,35.3
2021-11,476.7,127.03333333333333,36.03333333333333
2021-12,504.1333333333333,119.8,70.23333333333333
2022-01,647.1935483870968,116.35483870967742,56.96774193548387
2022-02,524.9285714285714,112.21428571428571,65.60714285714286
2022-03,493.92857142857144,122.57142857142857,66.21428571428571
2022-04,704.3333333333334,127.66666666666667,76.43333333333334
2022-05,705.5483870967741,132.0,92.45161290322581
2022-06,593.8333333333334,129.1,71.53333333333333
2022-07,743.483870967742,138.61290322580646,93.03225806451613
2022-08,730.0645161290323,141.67741935483872,69.74193548387096
2022-09,700.7666666666667,124.46666666666667,82.23333333333333
2022-10,628.6666666666666,133.4,84.9
2022-11,625.1,137.5,65.1
2022-12,766.6666666666666,137.66666666666666,110.13333333333334
2023-01,759.3548387096774,144.83870967741936,133.3548387096774
2023-02,822.4642857142857,129.39285714285714,126.75
2023-03,870.5,139.43333333333334,105.0
